No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Acridotheres javanicus,Kerak kerbau,0,0,4,4
2,Abroscopus superciliaris,Cikrak bambu,0,3,0,0
3,Aegithina tiphia,Cipoh kacat,3,1,1,3
4,Anthreptes malacensis,Burung madu kelapa,1,4,0,0
5,Centropus bengalensis,Bubut Alang-alang,1,1,2,2
6,Centropus sinensis,Bubut besar,2,2,1,1
7,Cinnyris jugularis,Burung madu sriganti,0,0,0,1
8,Collocalia affinis,Walet-sapi jari-bulu,0,0,0,3
9,Delichon dasypus,Layang-layang Rumah,3,4,6,7
10,Dendrocopos moluccensis,Caladi tilik,0,5,4,5
11,Dicrurus paradiseus,Srigunting batu,1,2,2,3
12,Dinopium javanense,Pelatuk besi,0,2,0,0
13,Eurylaimus ochromalus,Sempur hujan darat,0,0,2,2
14,Geopelia striata,Perkutut jawa,4,2,3,3
15,Halcyon smyrnensis,Cekakak belukar,0,0,0,1
16,Hirundapus cochinchinensis,Kapinis jarum pantat putih,4,4,4,4
17,Hirundo tahitica,Layang-layang Batu,0,4,3,4
18,Hydrochous gigas,Walet Palem asia,0,4,6,6
19,Hypothymis azurea,Kehicap ranting,5,0,0,0
20,Malacocincla sepiaria,Pelanduk semak,2,1,0,0
21,Muscicapa latirostris,Sikatan bubik,2,0,0,0
22,Orthotomus atrogularis,Cinenen belukar,3,1,2,3
23,Orthotomus ruficeps,Cinenen kelabu,3,3,4,6
24,Pachycephala grisola,Kancilan bakau,0,0,1,2
25,Psilopogon rafflesii,Takur tutut,1,0,0,0
26,Pycnonotus goiavier,Merbah cerucuk,0,0,3,4
27,Pycnonotus plumosus,Merbah belukar,2,2,3,4
28,Rhaphidura leucopygialis,Kapinis jarum kecil,0,6,6,6
29,Rhipidura javanica,Kipasan belang,1,0,0,0
30,Spilopelia chinensis,Tekukur biasa,5,4,3,4
31,Todirhamphus chloris,Cekakak sungai,4,2,2,3
32,Treron vernans,Punai gading,1,5,4,4
