No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Agriocnemis minima,Capung-jarum kurcaci,0,4
2,Brachydiplax chalybea,Capung‐sambar dada-karat,0,3
3,Ceriagrion auranticum,-,0,3
4,Ceriagrion cerinorubellum,Capung-jarum ekor-jingga,0,4
5,Copera vittata,-,1,1
6,Lathrecista asiatica,Capung-tengger ekor-darah,0,1
7,Libellago hyalina,-,0,5
8,Nannophya pygmaea,-,0,5
9,Neurothemis fluctuans,Capung-jala kecil,26,16
10,Neurothemis ramburii,Capung-jala lekuk,0,4
11,Orchithemis pulcherrima,-,0,1
12,Orthetrum chrysis,Capung‐sambar perut‐kait,3,5
13,Orthetrum sabina,Capung‐sambar hijau,5,7
14,Potamarcha congener,Capung sambar perut-pipih,0,2
15,Pseudagrion sp.,-,0,3
16,Rhyothemis obsolescens,-,0,5
