No,Nama Ilmiah,Nama Lokal,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Adenium obesum,Adenium,5,0,0
2,-,Kaktus,1,0,0
3,Acalypha siamensis,Teh-tehan,1,0,0
4,Adonidia merrillii,Palem putri,0,4,4
5,Agave sp.,Agave,1,0,0
6,Ageratum conyzoides,Bandotan,50,0,0
7,Aglaonema sp.,Aglonema,2,0,0
8,Allamanda cathartica,Alamanda,1,4,4
9,Alocasia zebrina,Alokasia,0,2,2
10,Alpinia galanga,Lengkuas,1,0,0
11,Annona muricata,Sirsak,0,14,14
12,Archidendron pauciflorum,Jengkol,14,24,24
13,Areca catechu,Pinang,7,8,8
14,Artocarpus altilis,Sukun,3,0,0
15,Artocarpus heterophyllus,Nangka,9,10,10
16,Artocarpus integer,Cempedak,1,10,10
17,Asplenium nidus,Paku sarang burung,0,2,2
18,Asystasia gangetica,Rumput israel,0,4,4
19,Baccaurea macrocarpa,Tampui,0,2,2
20,Bambusa sp.,Bambu,4,0,0
21,Bambusa vulgaris,Bambu kuning,2,0,0
22,Barringtonia macrostachya,Kayu putat,0,0,2
23,Bougainvillea glabra,Bougenvile,12,4,4
24,Caladium bicolor,Keladi,3,0,0
25,Calamus rotang,Rotan,1,12,12
26,Casalia cuviflora,Bintang jatuh,0,2,2
27,Cerbera manghas,Bintaro,9,0,0
28,Citrus sp.,Jeruk,11,4,4
29,Cnidoscolus aconitifolius,Pepaya jepang,1,0,0
30,Cocos nucifera,Kelapa,8,12,12
31,Codiaeum variegatum,Puring,1,0,0
32,Coleus scutellarioides,Rumput miana,0,4,4
33,Cordyline sp.,Cordiline,0,2,2
34,Cratoxylum arborescens,Geronggang,0,2,2
35,Cupressus sempervirens,Cemara lilin,2,0,0
36,Curcuma longa,Kunyit,4,0,0
37,Curcuma zanthorrhiza,Temulawak,1,0,0
38,Cycas rumphii,Mawar jambe,0,2,2
39,Cymbopogon citratus,Serai,3,2,2
40,Dracaena fragrans,Sri gading,0,2,2
41,Dracaena marginata,Drakaena,4,0,0
42,Dracaena sp.,Drakaena,0,2,2
43,Durio zibethinus,Durian,14,44,44
44,Elaeis guineensis,Sawit,4,60,55
45,Euodia ridleyi,Brokoli hias,0,2,0
46,Euphorbia lactea,Euphorbia green,1,0,0
47,Euphorbia milii,Mahkota duri,3,2,2
48,Euphorbia pseudocactus,Euphorbia zig zag,1,0,0
49,Euphorbia tithymaloides,Patah tulang,0,2,2
50,Ficus sp.,Beringin,2,2,2
51,Flagellaria indica,Rotan tikus,0,2,2
52,Garcinia mangostana,Manggis,1,2,2
53,Gomphandra capitulata,Mesiro,0,2,2
54,Gynotroches axillaris,Mata keli,0,0,16
55,Hanguana malayana,Bakung,100,0,0
56,Hevea brasiliensis,Karet,33,60,60
57,Hibiscus rosa-sinensis,Kembang sepatu,3,4,4
58,Homalomena sp.,Homalomena,0,2,2
59,Impatiens balsamina,Pacar air,0,2,2
60,Ixora sp.,Asoka,10,4,4
61,Jasminum sambac,Melati,3,0,0
62,Kaempferia galanga,Kencur,1,0,0
63,Lansium domesticum,Duku,1,0,0
64,Lantana camara,Tahi ayam,1,2,2
65,leguminose,Leguminose,1,0,0
66,Limahlania crenulata,Lelempang,0,2,2
67,Lindernia rotundifolia,Rumput sawah,0,2,2
68,Macaranga motleyana,Mahang,7,0,0
69,Macaranga sp.,Mahang,1,0,0
70,Macaranga triloba,Mahang,0,4,4
71,Magnolia champaca,Cempaka,1,0,0
72,Mangifera foetida,Pakel,0,2,2
73,Mangifera indica,Mangga,4,8,8
74,Mangifera sp. 1,-,3,0,0
75,Manihot esculenta,Singkong,1,0,0
76,Maniltoa grandiflora,Saputangan,2,0,0
77,Melaleuca leucadendra,Gelam,0,4,4
78,Melastoma malabathricum,Keduduk,10,4,4
79,Monstera deliciosa,Monstera,1,0,0
80,Moringa oleifera,Kelor,0,4,4
81,Musa sp.,Pisang,1,8,0
82,Mussaenda frondosa,Kingkilaban,0,12,12
83,Mussaenda pubescens,Nusa indah,1,0,0
84,Nephelium glabrum,Rendan,0,4,4
85,Nephelium lappaceum,Rambutan,9,18,18
86,Nymphaea sp.,Teratai,0,34,34
87,Pandanus helicopus,Pandan rawa,54,0,0
88,Pandanus tectorius,Pandan laut,0,2,2
89,Parkia speciosa,Petai,2,2,2
90,Persea americana,Sirsak,1,0,0
91,Pometia pinnata,Matoa,1,2,2
92,Psidium guajava,Jambu biji,0,2,2
93,Rauvolfia serpentina,Pule pandak,0,2,2
94,Ruellia tuberosa,Pletokan,0,6,6
95,Saccharum officinarum,Tebu,2,20,20
96,Sansevieria trifasciata,Lidah mertua,1,0,0
97,Shorea pauciflora,Meranti,1,0,0
98,Shorea sp.,,1,0,0
99,Sonneratia alba,Pidada,2,4,4
100,Spermacoce rotundifolia,Rumput,0,2,2
101,Stachytarpheta jamaicensis,Pecutan kuda,0,2,2
102,Sygizium leptostemon,Kelat tikus,0,0,9
103,Syzygium aqueum,Jambu air,2,4,4
104,Syzygium malaccense,Jambu bol,4,2,2
105,Syzygium myrtifolium,Pucuk merah,43,12,12
106,Syzygium sp.,Syzygium sp.,0,2,0
107,Tabernaemontana sp.,Mondokaki,1,0,0
108,Thuja occidentalis,Cemara kipas,1,0,0
109,Torenia crustacea,Bunga wishbone,0,2,2
110,Tridax procumbens,Songgolangit,1,0,0
111,Vandellia diffusa,Rumput,0,4,0
112,Zingiber officinale,Jahe,2,0,0
